Cell_ID,Animal_ID,Animal_sex,Behavior,Bregma,Centroid_X,Centroid_Y,Cell_class,Neuron_cluster_ID,Ace2,Adora2a,Aldh1l1,Amigo2,Ano3,Aqp4,Ar,Arhgap36,Avpr1a,Avpr2,Baiap2,Bdnf,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,Bmp7,Brs3,Calcr,Cbln1,Cbln2,Cckar,Cckbr,Ccnd2,Cd24a,Cdkn1a,Cenpe,Chat,Coch,Col25a1,Cplx3,Cpne5,Creb3l1,Crhbp,Crhr1,Crhr2,Cspg5,Cxcl14,Cyp19a1,Cyp26a1,Cyr61,Dgkk,Ebf3,Egr2,Ermn,Esr1,Etv1,Fbxw13,Fezf1,Fn1,Fst,Gabra1,Gabrg1,Gad1,Galr1,Galr2,Gbx2,Gda,Gem,Gjc3,Glra3,Gpr165,Greb1,Grpr,Htr2c,Igf1r,Igf2r,Irs4,Isl1,Kiss1r,Klf4,Krt90,Lepr,Lmod1,Lpar1,Man1a,Mc4r,Mki67,Mlc1,Myh11,Ndnf,Ndrg1,Necab1,Nos1,Npas1,Npy1r,Npy2r,Ntng1,Ntsr1,Nup62cl,Omp,Onecut2,Opalin,Oprd1,Oprk1,Oprl1,Oxtr,Pak3,Pcdh11x,Pdgfra,Pgr,Plin3,Pnoc,Pou3f2,Prlr,Ramp3,Rgs2,Rgs5,Rnd3,Rxfp1,Scgn,Selplg,Sema3c,Sema4d,Serpinb1b,Serpine1,Sgk1,Slc15a3,Slc17a6,Slc17a7,Slc17a8,Slc18a2,Slco1a4,Sox4,Sox6,Sox8,Sp9,Synpr,Syt2,Syt4,Sytl4,Tacr1,Tacr3,Tiparp,Tmem108,Traf4,Trhr,Ttn,Ttyh2,Adcyap1,Cartpt,Cck,Crh,Fos,Gal,Gnrh1,Mbp,Nnat,Nts,Oxt,Penk,Scg2,Sln,Sst,Tac1,Tac2,Th,Trh,Ucn3,Vgf
8eff87f0-20e3-44fd-92ee-fbe0bd5d485b,5,Male,Naive,0.21,2100.240753,3566.579543,OD Mature 2,,0,0,0,0,0,2.291698124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763883915,0,0,0,0,0.763883915,0,29.02617421,0,0.763883915,0,0,0.763883915,0,0,0,1.527784229,0,0,0.763883915,0,0,27.50361872,0,0,0,0,0,2.291698124,2.291698124,0,0,0,0.763883915,0,0,0,12.22208668,2.291698124,0,0,0.763883915,0.763883915,0,45.83817879,0,0,0,0,0,0,0,0,0,0,7.638930895,0,0,0,0,0.763883915,1.527784229,1.527784229,0,3.055645624,0,0,0,0,0,0,0.763883915,0,0,0,0,9.929492591,1.527784229,0,12.98620856,0,0,0,0,0,0,0,0,9.167168005,0,0,0.763883915,0,0,0.763883915,0,3.819477976,0.763883915,0.763883915,0,0,47.36152643,0.006484752,0,0.041755975,0.04284797,NaN,0,0.002773619,1.222030419,0,0.001577685,0,0,0,0,0.013750543,0,0,0,0.034522641,0.003073368,0
1621ca4b-639a-4fd7-9277-a36bb45266c9,19,Female,Parenting,0.21,-2250.014209,-2379.095311,OD Mature 2,,0,0,0,0,0,0,1.471268879,0,0,0,0,0,0,0,1.471268879,0,0,0,0,0,0,2.942575329,0,0,0,0,2.942575329,0,0,1.471268879,1.471268879,0,0,0,0,0,0,1.471268879,7.356415001,0,0,1.471268879,0,1.471268879,0,67.67521061,0,1.471268879,0,0,0,0,0,0,0,1.471268879,0,0,0,0,14.71447947,1.471268879,2.942575329,0,0,0,4.413897137,0,0,0,0,0,0,0,1.471268879,7.356415001,0,0,0,0,0,1.471268879,52.96348637,0,0,0,0,0,0,0,0,0,0,1.471268879,0,0,0,0,0,2.942575329,0,0,13.24295165,0,0,0,0,1.471268879,0,0,0,0,0,0,1.471268879,0,0,35.30780548,0,2.942575329,0,0,0,0,1.471268879,0,2.942575329,0,0,0,0,0,1.471268879,0,0,2.942575329,0,0,0,13.24295165,0.006435622,0,0.02858219,0,0.311142817,0,0.037146247,2.059496777,0,0.015158604,0,0,0,0,0.01940134,0.022936087,0.005291013,0.123378221,0.038049348,0,0
330f899f-edcf-4824-a7c0-36f090178b34,19,Female,Parenting,0.21,-2246.426422,-2293.72418,OD Immature 1,,0,0,0,0,0,2.039135055,0,4.078319257,0,0,0,0,0,0,0,0,0,0,0,0,0,4.078319257,0,0,0,0,2.039135055,0,2.039135055,0,0,0,0,2.039135055,0,0,0,14.27566058,4.078319257,0,0,0,0,0,2.039135055,10.19695673,0,2.039135055,0,0,0,0,0,0,0,0,2.039135055,0,0,0,8.156721386,0,2.039135055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.62791957,0,0,0,4.078319257,2.039135055,0,0,0,0,0,0,0,0,0,0,4.078319257,0,22.43149507,0,0,0,2.039135055,0,0,0,2.039135055,0,0,0,0,0,0,0,0,0,2.039135055,0,0,0,0,0,4.078319257,8.156721386,2.039135055,0,0,0,0,0,0,0,0,0,4.078319257,0,0,0,0.014630937,0,0.019667554,0.025923552,0.041273941,0.013738405,0.018363676,0.820287555,0,0.005332216,0,0,0,0,0.024514242,0.035125482,0.002368476,0,0.025444122,0,0
43b683f8-7576-466c-bae3-98b0919317bc,19,Female,Parenting,0.21,-2246.759655,-2334.516282,OD Mature 2,,0,0,0,0,0,14.07301044,0,1.918905266,0,0.639645646,1.918905266,0,0.639645646,0,0,0.639645646,0.639645646,0,1.279292177,0,0,1.279292177,0,0,1.279292177,0.639645646,0,0,0,0.639645646,0.639645646,0,0,0.639645646,0.639645646,0.639645646,0.639645646,0.639645646,3.198169798,0,0,1.279292177,0,0.639645646,0,79.94685874,0,0.639645646,0,0,1.918905266,0.639645646,1.279292177,0,0.639645646,0,0,0.639645646,0,0,19.83051465,1.918905266,1.279292177,1.279292177,1.279292177,0.639645646,1.279292177,1.279292177,1.279292177,0,1.279292177,1.279292177,0,0,0.639645646,9.594976554,1.918905266,0,0,1.918905266,0.639645646,1.279292177,63.96807517,0,0,0,3.198169798,0.639645646,0,0,0,1.279292177,0,3.837823279,0,0,0.639645646,0,8.954971018,0.639645646,0,0,1.918905266,0.639645646,0,0.639645646,0.639645646,0.639645646,6.396393359,0,0.639645646,0.639645646,0.639645646,1.279292177,3.198169798,0.639645646,1.918905266,21.74573631,0,3.198169798,0,0,0.639645646,2.558524826,0.639645646,0.639645646,7.036001331,1.279292177,1.279292177,0,0,0.639645646,0.639645646,0.639645646,1.279292177,5.756783445,0.639645646,0,0,12.79431058,0,0.002161144,0.030070619,0.012570102,0.002379324,0,0.034784703,2.874627888,0,0.026693943,0,0,0,0.382483638,0.000194168,0,0,0,0.008234142,0.003915825,0
ed6889b3-0125-4de3-bc38-b8c46e7b9724,19,Female,Parenting,0.21,-2240.403794,-2392.922267,Astrocyte,,0,0,14.64948319,0,0,19.04472027,0,1.465074221,1.465074221,0,0,1.465074221,0,0,0,0,0,1.465074221,0,0,0,0,0,0,1.465074221,0,1.465074221,2.930067413,0,0,1.465074221,0,0,1.465074221,0,0,0,7.325302067,5.860250909,0,0,0,0,0,0,17.5823228,0,0,0,0,0,0,0,1.465074221,0,0,0,0,0,0,2.930067413,0,5.860250909,0,2.930067413,0,5.860250909,0,0,0,0,1.465074221,1.465074221,0,0,0,1.465074221,0,0,2.930067413,1.465074221,1.465074221,4.395106225,0,2.930067413,1.465074221,4.395106225,1.465074221,0,0,0,0,0,0,1.465074221,0,0,1.465074221,1.465074221,0,0,0,2.930067413,0,10.25641251,0,0,0,0,4.395106225,0,0,0,0,4.395106225,0,0,2.930067413,0,2.930067413,0,0,0,0,1.465074221,4.395106225,0,0,0,0,0,0,0,1.465074221,2.930067413,2.930067413,1.465074221,0,1.465074221,2.930067413,0.001242694,0,0.024983797,0.01217918,0.06531735,0.015518642,0.026173984,0.563471611,0.012548419,0,0.006570041,0,0,0,0.02523636,0.002210434,0,0,0.035487832,0,0
b7a30112-b1ee-4a80-9996-9115395ed022,19,Female,Parenting,0.21,-2241.06238,-2287.455334,Astrocyte,,0,2.707575469,2.707575469,0,2.707575469,37.9045145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.707575469,0,0,0,0,5.415197039,2.707575469,0,0,0,0,0,0,5.415197039,0,0,0,0,0,0,0,0,0,0,0,2.707575469,0,0,2.707575469,0,10.83041556,0,0,0,5.415197039,0,0,0,0,2.707575469,0,0,0,2.707575469,0,0,0,0,0,0,0,0,0,0,0,0,0,2.707575469,0,0,5.415197039,0,0,0,0,0,2.707575469,0,0,0,0,0,5.415197039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.707575469,0,0,0,0,0,2.707575469,0,0,0,0,0,0,0.01147115,0,0.017457553,0.006690337,0.044963209,0.020380616,0.012505288,0.517784104,0,0.001226832,0,0,0,0,0.024594452,0.024983797,0,0,0.036747508,0,0
50a4b725-faf5-44e4-983b-d49a0bd8155c,19,Female,Parenting,0.21,-2235.427891,-2446.153981,Inhibitory,I-2,0,0,2.18485746,0,0,0,0,4.369699719,0,2.18485746,4.369699719,0,2.18485746,0,0,0,0,0,2.18485746,0,0,21.85072585,0,0,0,6.554574354,0,2.18485746,0,0,0,0,2.18485746,0,4.369699719,0,2.18485746,2.18485746,2.18485746,2.18485746,2.18485746,2.18485746,4.369699719,0,0,2.18485746,0,0,0,0,0,2.18485746,0,0,21.85072585,0,0,0,0,0,0,0,2.18485746,0,0,4.369699719,0,0,6.554574354,0,0,0,2.18485746,0,0,2.18485746,0,0,0,0,0,0,0,2.18485746,2.18485746,2.18485746,4.369699719,0,0,0,0,0,8.739350601,0,2.18485746,2.18485746,4.369699719,4.369699719,28.40356574,0,0,0,0,2.18485746,0,8.739350601,0,0,0,2.18485746,2.18485746,0,0,0,2.18485746,0,0,2.18485746,0,2.18485746,0,0,4.369699719,2.18485746,0,4.369699719,0,0,0,0,4.369699719,0,0,2.18485746,2.18485746,0,2.18485746,0,0,0,0.079448681,0,0,0,0,0,0,0,0.073890499,0,0.019790589,0,0.041142081,0.113737903,0,0,0.006985692,0,0,0.000836487,0.017249769
2f40c1ca-bb40-4ae3-b69e-8c622168a10d,19,Female,Parenting,0.21,-2238.098429,-2412.380085,Inhibitory,I-3,0,1.385338402,0,2.770682801,0,0,6.926655797,0,0,0,2.770682801,0,0,0,0,0,1.385338402,0,1.385338402,0,1.385338402,29.08846277,1.385338402,0,0,4.155965468,1.385338402,0,0,0,0,0,1.385338402,2.770682801,2.770682801,0,0,2.770682801,1.385338402,0,0,0,6.926655797,0,0,0,0,0,0,0,0,0,6.926655797,4.155965468,30.47748314,0,0,0,0,1.385338402,2.770682801,2.770682801,13.85251501,0,0,11.08370182,1.385338402,0,8.311936376,2.770682801,1.385338402,0,0,0,1.385338402,0,0,1.385338402,0,0,0,0,2.770682801,2.770682801,6.926655797,0,4.155965468,0,0,2.770682801,0,2.770682801,8.311936376,0,0,4.155965468,2.770682801,0,29.08846277,1.385338402,0,0,1.385338402,0,2.770682801,4.155965468,1.385338402,1.385338402,1.385338402,5.541238738,2.770682801,0,1.385338402,9.697936113,4.155965468,0,0,0,0,9.697936113,0,0,0,0,4.155965468,0,0,2.770682801,1.385338402,0,13.85251501,0,2.770682801,4.155965468,2.770682801,0,0,0,0,0,0.408769693,0,0,0,0,0,0,0,0.003347563,0,0.004195105,0,0.131501151,0.017672877,0,0,0.010267542,0.586901607,0,0,1.489602435
22a54af0-a008-409e-bd00-d6a739e9a31a,19,Female,Parenting,0.21,-2230.840137,-2284.161303,Astrocyte,,0,1.904691407,17.14261982,0,0,43.81258533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.524464317,0,0,1.904691407,3.809390044,1.904691407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.904691407,0,0,0,0,0,3.809390044,0,0,1.904691407,0,0,0,0,0,0,0,0,1.904691407,0,0,0,3.809390044,0,0,0,7.618664992,0,0,0,0,1.904691407,0,0,0,1.904691407,0,0,0,0,0,0,0,0,0,1.904691407,1.904691407,0,0,0,0,3.809390044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.904691407,0.022577659,0,0.023806777,0.00708656,0.085747905,0.016658041,0.021995068,0.375529789,0,0.013839015,0,0,0,0,0.023183434,0.025222196,0,0.036761831,0.041091738,0,0
b1208473-c9ad-4e52-8261-3880171c4c08,19,Female,Parenting,0.21,-2226.949594,-2443.136697,Ambiguous,,0,0,13.15141933,0,0,18.41332835,0,0,0,0,0,0,0,0,0,2.630529751,2.630529751,0,0,0,0,2.630529751,0,0,0,0,0,0,0,0,2.630529751,0,0,0,0,0,0,10.5212606,7.891601696,0,0,2.630529751,0,0,0,0,0,0,0,0,0,5.260946605,0,0,0,0,0,0,0,0,2.630529751,0,0,0,0,0,5.260946605,0,0,0,0,0,0,0,0,0,0,0,0,10.5212606,0,0,2.630529751,0,5.260946605,0,0,5.260946605,0,0,0,0,0,0,0,0,0,0,7.891601696,0,0,0,0,0,5.260946605,0,0,2.630529751,0,0,0,0,0,0,0,0,2.630529751,0,0,0,2.630529751,0,0,0,0,5.260946605,0,0,0,0,5.260946605,0,0,0,2.630529751,5.260946605,0,0,0,5.260946605,0.014131097,0,0.040308148,0,0.019652762,0.014100974,0,0,0.404235668,0.024490652,0,0,0,0.044397924,0.006767529,0.002700889,0.003823134,0.031646716,0.002021961,0.003037569,0
